Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
32063163482,"FRG SOCIAL CLUB, INC.",1901 TOWN CENTRE DR STE 150,ROUND ROCK,TX,78664,246,1,BUFFALO WINGS & RINGS,1901 TOWN CENTRE DR STE 150,ROUND ROCK,TX,78664,246,N 983899,Y,05/31/2017,,12/31/2017,$4982,$830,$18637,$0,$24449
18417156447,"601 E. WHITESTONE, LTD.",2811 PROSPERITY,LEANDER,TX,78641,246,2,1431 CAFE,601 E WHITESTONE BLVD STE 300,CEDAR PARK,TX,78613,246,MB644324,Y,11/06/2006,,12/31/2017,$1273,$905,$252,$0,$2430
17429868239,"MALO, INC.",600 S BELL BLVD STE A13,CEDAR PARK,TX,78613,246,1,JARDIN CORONA MEXICAN RESTAURANT,600 S BELL BLVD # A13,CEDAR PARK,TX,78613,246,MB490462,Y,04/02/2001,,12/31/2017,$29634,$329,$4724,$0,$34687
32057692074,"CORNBREAD VENTURES, LP",12912 HILL COUNTRY BLVD STE F-255,AUSTIN,TX,78738,227,2,Z'TEJAS,10525 W PARMER LN,AUSTIN,TX,78717,246,MB935853,Y,02/23/2016,,12/31/2017,$0,$0,$0,$0,$0
32049840740,NAGOYA STEAK  HOUSE INC,4109 KILGORE LN,AUSTIN,TX,78727,227,1,NAGOYA STEAK HOUSE,11630 RANCH ROAD 620 N,AUSTIN,TX,78750,246,MB840925,Y,05/17/2013,,12/31/2017,$6287,$4781,$5909,$0,$16977
32049332334,"RRA BEVERAGE COMPANY, LLC",66 PALMER AVE STE 320,BRONXVILLE,NY,10708,0,1,THE BONNEVILLE LOUNGE,1209 N INTERSTATE 35,ROUND ROCK,TX,78664,246,MB832112,Y,02/19/2013,,12/31/2017,$1640,$146,$974,$0,$2760
32049867347,"SUKITEE, INC.",14028 N HIGHWAY 183 STE D170,AUSTIN,TX,78717,246,1,SNOW PEA ASIAN BISTRO,14028 N HIGHWAY 183 STE 170,AUSTIN,TX,78717,246,MB847837,Y,08/05/2013,,12/31/2017,$2795,$3402,$1822,$0,$8019
12057184488,"CHUY'S OPCO, INC.",1623 TOOMEY RD,AUSTIN,TX,78704,227,37,CHUY'S,4911 183A TOLL RD,CEDAR PARK,TX,78613,246,MB967074,Y,12/19/2016,,12/31/2017,$144248,$2315,$26016,$0,$172579
12015917714,"CIMARRON 2009 BEVERAGES, LLC",103 CIMARRON HILLS TRL W,GEORGETOWN,TX,78628,246,1,CIMARRON HILLS COUNTRY CLUB,200 CIMARRON HILLS TRL W,GEORGETOWN,TX,78628,246,MB576385,N,04/22/2005,,12/31/2017,$12942,$17303,$3966,$0,$34211
16511658300,"JARDIN DEL REY, INC.",703 S HIGHWAY 183,LEANDER,TX,78641,246,1,JARDIN DEL REY,703 S HIGHWAY 183,LEANDER,TX,78641,246,MB532752,Y,03/25/2003,,12/31/2017,$31499,$307,$4664,$0,$36470
