Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
32058184691,"NATE'S AT BUDA MILL AND GRAIN, INC.",10212 MANCHACA RD,AUSTIN,TX,78748,227,1,"NATE'S AT BUDA MILL AND GRAIN, INC.",306 S MAIN ST STE 101,BUDA,TX,78610,105,MB927699,Y,11/23/2015,,12/31/2017,$34957,$8472,$27144,$0,$70573
32059721038,"SAN LUIS SPIRITS DISTILLING CO., LLC",PO BOX 310,DRIPPING SPGS,TX,78620,105,1,"SAN LUIS SPIRITS DISTILLING CO., LLC",5330 BELL SPRINGS RD,DRIPPING SPRINGS,TX,78620,105,D 960654,N,10/11/2016,,12/31/2017,$1715,$0,$0,$0,$1715
32059037955,"#4 COUCH ENTERPRISES, INC.",1603 LANCASTER ST,SAN MARCOS,TX,78666,105,1,ELEVATE BAR & TABLE,407 S STAGECOACH TRL,SAN MARCOS,TX,78666,105,MB940193,Y,04/06/2016,,12/31/2017,$21614,$2669,$2844,$0,$27127
32047636173,"REMINGTON FAMILY DISTILLERS, INC.",PO BOX 141872,AUSTIN,TX,78714,227,2,"REMINGTON FAMILY DISTILLERS, INC.",100 PRECISION STE 402,BUDA,TX,78610,105,D 847840,Y,07/01/2015,,12/31/2017,$6300,$0,$0,$0,$6300
32050114910,"RESTLESS WIND, INC.",PO BOX 118,SAN MARCOS,TX,78667,105,1,CHANCES R,138 S LBJ DR,SAN MARCOS,TX,78666,105,MB838193,Y,04/22/2013,,12/31/2017,$14184,$598,$9379,$0,$24161
17428909406,"SPOHN & ASSOCIATES, INC.",8940 RESEARCH BLVD STE 300,AUSTIN,TX,78758,227,4,PINBALLZ KINGDOM,15201 S IH 35,BUDA,TX,78610,105,MB880109,Y,08/05/2014,,12/31/2017,$21930,$748,$31717,$0,$54395
32051522954,THISTLEWOOD MANOR LLC,1520 ROLAND LN,KYLE,TX,78640,105,1,THISTLEWOOD MANOR,1520 ROLAND LN,KYLE,TX,78640,105,RM876071,N,06/24/2014,,12/31/2017,$0,$723,$881,$0,$1604
17529327292,WIMBERLEY SPRINGS PARTNERS LTD.,PO BOX 2854,WIMBERLEY,TX,78676,105,1,QUICKSAND @ WOODCREEK COUNTRY CLUB,1 PRO LN,WIMBERLEY,TX,78676,105,MB785530,Y,09/22/2011,,12/31/2017,$0,$0,$2614,$0,$2614
32056979399,SUIYUAN ENTERPRISE LLC,117 MEINERS ST,SAN MARCOS,TX,78666,105,1,SAKURA SUSHI & STEAK,117 MEINERS ST,SAN MARCOS,TX,78666,105,MB913755,Y,07/09/2015,,12/31/2017,$865,$93,$262,$0,$1220
17514214240,"RED LOBSTER OF TEXAS, INC.",PO BOX 695011,ORLANDO,FL,32869,0,52,RED LOBSTER RESTAURANT #844,100 N INTERSTATE 35,SAN MARCOS,TX,78666,105,MB263799,Y,03/20/1996,,12/31/2017,$12037,$4573,$4869,$0,$21479
32039889392,TRATTORIA LISINA LLC,5508 W HIGHWAY 290 STE 210,AUSTIN,TX,78735,227,1,TRATTORIA LISINA,13308 FM 150 W,DRIFTWOOD,TX,78619,105,MB916615,N,08/06/2015,,12/31/2017,$17922,$96770,$7122,$0,$121814
32057543657,"TREATY OAK BREWING AND DISTILLING CO, LLC",16604 FITZHUGH RD,DRIPPING SPGS,TX,78620,105,1,TREATY OAK BREWING AND DISTILLING CO.,16604 FITZHUGH RD,DRIPPING SPRINGS,TX,78620,105,D 938575,N,03/22/2016,,12/31/2017,$30110,$0,$7940,$0,$38050
32050649576,"WHIM CATERING, LLC",PO BOX 664,DRIPPING SPGS,TX,78620,105,3,WHIM CATERING,2001 W HIGHWAY 290 STE 103,DRIPPING SPRINGS,TX,78620,105,MB846767,N,07/17/2015,,12/31/2017,$3839,$1105,$1063,$0,$6007
32040854260,"ROBERTS THIRD GENERATION FOODS, LLC",PO BOX 268,DRIFTWOOD,TX,78619,105,2,THURMAN'S MANSION,17900 FM 1826,DRIFTWOOD,TX,78619,105,RM813471,N,07/13/2012,,12/31/2017,$0,$3537,$2906,$0,$6443
32049385209,"MERCER STREET DANCEHALL, LLC",332 W MERCER ST,DRIPPING SPGS,TX,78620,105,1,MERCER STREET DANCEHALL,332 MERCER ST,DRIPPING SPRINGS,TX,78620,105,MB883621,Y,09/09/2014,,12/31/2017,$15321,$2180,$9218,$0,$26719
32037353284,PHO THAISON 3 LLC,3601 W WILLIAM CANNON DR STE 250,AUSTIN,TX,78749,227,1,PHO THAISON,5401 FM 1626 STE 370,KYLE,TX,78640,105,RM749298,Y,06/01/2010,,12/31/2017,$32,$830,$1836,$0,$2698
17524461674,"OUTBACK BEVERAGES OF TEXAS, LLC",2202 N WEST SHORE BLVD STE 500,TAMPA,FL,33607,0,50,OUTBACK STEAKHOUSE,4205 S INTERSTATE 35,SAN MARCOS,TX,78666,105,MB435963,Y,01/01/2008,,12/31/2017,$21000,$12019,$23296,$0,$56315
32054036044,TINDOL RESTAURANT GROUP L.L.C.,552 CANNA LILY CIR,DRIFTWOOD,TX,78619,105,1,HAYS CITY STORE,8989 FM 150 W,DRIFTWOOD,TX,78619,105,RM893944,N,12/30/2014,,12/31/2017,$48470,$8806,$26025,$0,$83301
32008155478,CARMEN P HERNANDEZ,108 AUSTIN STREET,BUDA,TX,78610,227,2,CHAVELO'S MEXICAN RESTAURANT,108 N AUSTIN ST,BUDA,TX,78610,105,RM723626,Y,06/09/2009,,12/31/2017,$1514,$0,$1047,$0,$2561
12705903784,"NEWTON GANG GETAWAY, LLC",19141 STONE OAK PKWY STE 104,SAN ANTONIO,TX,78258,15,1,HIVE,100 W HOPKINS ST,SAN MARCOS,TX,78666,105,MB731225,Y,09/01/2009,,12/31/2017,$41025,$0,$10023,$0,$51048
17419705474,CLASSIC PROGRESSIONS INC.,218 MOORE ST,SAN MARCOS,TX,78666,105,1,PALMER'S RESTAURANT & BAR,218 WEST MOORE,SAN MARCOS,TX,78666,105,MB107173,Y,12/01/1993,,12/31/2017,$23619,$15477,$5112,$0,$44208
32010520990,FATIMA ROBLES,4327 S 1ST ST STE 102,AUSTIN,TX,78745,227,6,CASA MARIA MEXICAN RESTAURANT,22604 INTERSTATE 35,KYLE,TX,78640,105,RM807073,Y,05/15/2012,,12/31/2017,$5247,$7,$115,$0,$5369
32050128712,AUSTIN STREET TAVERN LLC,102 WONDER WORLD DR STE 304,SAN MARCOS,TX,78666,105,1,AQUABREW,150 S LBJ DR,SAN MARCOS,TX,78666,105,MB964472,Y,11/17/2016,,12/31/2017,$5521,$7204,$31637,$0,$44362
17429131729,"SAN MARCOS TAVERN, INC.",804 CHESTNUT ST STE D,SAN MARCOS,TX,78666,105,1,THE TAVERN,804 CHESTNUT ST STE D,SAN MARCOS,TX,78666,105,MB402285,Y,08/09/1999,,12/31/2017,$55531,$153,$24497,$0,$80181
32049363750,"CINESTARZ ENTERTAINMENT, LLC",1250 WONDER WORLD DR,SAN MARCOS,TX,78666,105,1,EVO ENTERTAINMENT CENTER,3200 KYLE XING,KYLE,TX,78640,105,MB932743,Y,01/22/2016,,12/31/2017,$29428,$2830,$37532,$0,$69790
17426715334,APPLEJAM BEVERAGE INC.,1455 LINCOLN PKWY E STE 430,ATLANTA,GA,30346,0,19,APPLEJAM BEVERAGE,5363 KYLE CENTER DR,KYLE,TX,78640,105,MB821688,Y,10/10/2012,,12/31/2017,$14899,$1836,$14082,$0,$30817
17423370463,"MAMACITA'S RESTAURANT AND CANTINA, INC.",215 JUNCTION HWY,KERRVILLE,TX,78028,133,6,MAMACITA'S RESTAURANT & CANTINA,1400 AQUARENA SPRINGS DR,SAN MARCOS,TX,78666,105,MB254741,Y,04/20/1995,,12/31/2017,$18446,$345,$5426,$0,$24217
32061940550,SANMARCOS 35 LLC,PO BOX 90549,AUSTIN,TX,78709,227,1,JOHNNY CARINOS,1207 S INTERSTATE 35,SAN MARCOS,TX,78666,105,MB980906,Y,05/04/2017,,12/31/2017,$3263,$3900,$2074,$0,$9237
32033248629,"SUCCESS FOODS MANAGEMENT GROUP, LLC",4501 SPRINGDALE RD ATTN: DANNY RUSSO,AUSTIN,TX,78723,227,40,TORCHY'S TACOS,301 N GUADALUPE ST,SAN MARCOS,TX,78666,105,MB886496,Y,10/08/2014,,12/31/2017,$19065,$1039,$10503,$0,$30607
32055668589,"AUSTIN WHISKEY COMPANY, LLC",508 E 53RD ST UNIT 102,AUSTIN,TX,78751,227,2,AUSTIN SPIRITS,13377 FITZHUGH RD BLDG A,AUSTIN,TX,78736,105,D 901128,N,04/24/2017,,12/31/2017,$0,$0,$0,$0,$0
17429447539,BAR ENTERTAINMENT INC.,100 N GUADALUPE ST,SAN MARCOS,TX,78666,105,1,NEPHEW'S,100 N GUADALUPE ST,SAN MARCOS,TX,78666,105,MB467351,Y,03/01/2000,,12/31/2017,$46657,$0,$19839,$0,$66496
32042556699,THE ROOFTOP ON THE SQUARE LLC,126 S GUADALUPE ST,SAN MARCOS,TX,78666,105,1,THE ROOFTOP ON THE SQUARE,126 S GUADALUPE ST,SAN MARCOS,TX,78666,105,MB803637,Y,04/12/2012,,12/31/2017,$33410,$350,$7357,$0,$41117
32057803879,"SPRINGTOWN ENTERTAINMENT, LLC",1250 WONDER WORLD DR,SAN MARCOS,TX,78666,105,1,THE SPOT,1180 THORPE LN STE 130,SAN MARCOS,TX,78666,105,MB957875,Y,09/15/2016,,12/31/2017,$38690,$4054,$29877,$0,$72621
32061311323,"OLIVE GARDEN HOLDINGS, LLC",2425 WEST LOOP S STE 200,HOUSTON,TX,77027,101,1,THE OLIVE GARDEN ITALIAN RESTAURANT #4495,1305 S INTERSTATE 35,SAN MARCOS,TX,78666,105,MB968596,Y,01/10/2017,,12/31/2017,$8689,$14737,$5166,$0,$28592
12057184488,"CHUY'S OPCO, INC.",1623 TOOMEY RD,AUSTIN,TX,78704,227,36,CHUY'S SAN MARCOS,1121 N INTERSTATE 35,SAN MARCOS,TX,78666,105,MB954088,Y,08/10/2016,,12/31/2017,$80087,$928,$15911,$0,$96926
10436052947,"NUTTY BROWN ENTERPRISES, L.P.",12225 W HIGHWAY 290,AUSTIN,TX,78737,105,1,NUTTY BROWN CAFE,12225 W HIGHWAY 290,AUSTIN,TX,78737,105,RM670582,N,09/05/2007,,12/31/2017,$0,$0,$0,$0,$0
17418936534,GLONVOMERATE INCORPORATED,802 N LBJ DR,SAN MARCOS,TX,78666,105,1,GRINS RESTAURANT,802 N L B J DR,SAN MARCOS,TX,78666,105,MB233565,Y,12/01/1993,,12/31/2017,$8634,$320,$3560,$0,$12514
32056347969,ERNESTINA'S INC,311 S OLD HIGHWAY 81,KYLE,TX,78640,105,1,PISCIS SEAFOOD & MEXICAN RESAURANT,311 S OLD HIGHWAY 81,KYLE,TX,78640,105,RM684837,Y,03/27/2015,,12/31/2017,$8372,$38,$2349,$0,$10759
17519330587,"CHILI'S BEVERAGE COMPANY, INC.",6820 LYNDON B JOHNSON FWY,DALLAS,TX,75240,57,257,CHILI'S GRILL & BAR,420 OLD SAN ANTONIO RD,BUDA,TX,78610,105,RM629283,Y,05/30/2006,,12/31/2017,$21115,$1412,$17735,$0,$40262
